Mean Variance AutoCorreDistance
1.141304 0.137395 9.721713
1.232060 0.136705 9.721713
0.966559 0.377470 9.721713
1.244952 0.298407 9.721713
0.811182 0.130965 9.721713
1.139701 0.444749 9.721713
0.660263 0.220124 3.726464
1.074571 0.098149 3.726464
0.841247 0.096722 3.726464
1.100016 0.172939 3.726464
0.766757 0.090453 3.726464
1.066566 0.052774 3.726464
0.895126 0.134463 3.726464
1.118156 0.133887 3.726464
0.866702 0.199686 3.726464
1.189154 0.162137 3.374160
0.913633 0.142569 3.374160
1.202194 0.131485 3.374160
0.969930 0.104913 3.374160
1.199291 0.059555 3.374160
1.015335 0.128367 3.374160
1.213557 0.085240 3.374160
1.024591 0.122413 3.374160
1.184393 0.081020 3.374160
1.003935 0.157524 3.374160
1.156315 0.133171 3.374160
0.982560 0.273442 3.374160
1.096908 0.113073 3.374160
0.978041 0.076584 3.374160
1.121015 0.208192 3.374160
0.961425 0.076799 3.374160
1.084469 0.098566 3.374160
1.022410 0.108403 4.030132
1.112799 0.077693 4.030132
1.484498 0.129331 0.092865
1.008455 0.112153 0.092865
1.223728 0.150921 0.092865
1.260198 0.198777 0.092865
1.198290 0.133308 0.092865
0.856591 0.148872 0.092865
1.151064 0.070609 0.092865
1.019587 0.181265 0.092865
1.134117 0.078292 7.721299
0.900008 0.214441 1.962308
1.086874 0.128557 1.962308
0.871894 0.141512 1.962308
1.110142 0.164809 1.962308
0.825067 0.218106 1.962308
1.053548 0.110597 1.962308
0.863284 0.056732 1.962308
1.071514 0.100562 1.295882
0.916025 0.066725 1.295882
1.106214 0.092152 1.295882
0.955009 0.094320 1.295882
1.147410 0.182280 0.871447
0.979420 0.077939 0.871447
1.166046 0.210653 1.187194
1.004207 0.128088 1.060825
1.201807 0.304108 1.060825
0.569579 0.230806 1.060825
1.234938 0.102100 1.060825
1.031128 0.078304 1.060825
1.138802 0.093194 1.060825
1.018857 0.073804 1.060825
1.105917 0.177335 1.060825
0.993739 0.142572 1.060825
1.145371 0.202507 0.682000
0.991926 0.191860 0.653457
1.184995 0.177566 0.653457
0.995019 0.132593 0.653457
0.846270 0.161610 0.647808
1.075963 0.105359 0.647808
1.063859 0.084619 0.647808
1.229548 0.098446 1.628219
1.072135 0.128894 1.628219
1.162180 0.113164 0.557204
1.040067 0.111108 1.713515
1.121822 0.166695 0.862777
1.016657 0.126344 0.407613
1.128223 0.332242 0.407613
0.932491 0.129890 0.407613
1.111320 0.069280 0.407613
0.978026 0.101796 0.407613
1.088660 0.081997 3.217749
0.874262 0.089264 3.217749
1.038918 0.054338 3.217749
0.893940 0.146382 3.217749
1.077013 0.089556 3.217749
0.870502 0.234081 3.217749
1.142027 0.131732 3.217749
0.878997 0.158345 3.217749
1.172731 0.111030 3.217749
0.935177 0.096274 0.319333
1.182173 0.072004 0.319333
1.034867 0.115794 0.319333
1.210962 0.091327 0.319333
1.055965 0.089512 0.319333
1.193626 0.167532 0.319333
1.061686 0.149612 0.319333
1.206557 0.171737 0.319333
1.033525 0.201863 0.319333
1.186790 0.128388 0.319333
1.024166 0.046162 0.319333
1.100494 0.109907 1.077946
0.993565 0.066707 1.605537
1.053433 0.231769 1.718789
0.932539 0.127320 1.718789
1.158956 0.176383 1.718789
0.929029 0.127311 1.465081
1.062281 0.072398 1.465081
1.425408 0.155599 1.465081
1.299336 0.134769 1.465081
1.163872 0.111600 1.465081
0.850769 0.076249 1.465081
1.110336 0.074974 1.465081
0.934382 0.093386 1.465081
1.100606 0.076609 0.331673
1.024554 0.098739 0.331673
1.111670 0.166794 0.457645
0.952613 0.140616 2.674224
1.073375 0.175567 2.674224
0.841575 0.161907 2.674224
1.037223 0.223671 2.674224
0.788130 0.090828 2.674224
1.050630 0.099680 2.674224
0.865776 0.065474 1.987081
1.075552 0.119180 1.987081
0.891001 0.094245 0.668867
1.133035 0.105922 0.668867
0.973332 0.142222 0.668867
1.185784 0.203718 0.375694
0.991075 0.133743 0.375694
1.217235 0.442272 0.375694
1.011577 0.117389 0.375694
1.218437 0.075595 3.179005
0.998575 0.102001 3.903500
1.212802 0.092812 3.903500
1.006222 0.089029 3.903500
1.169566 0.087434 3.903500
0.985872 0.161200 3.903500
1.155862 0.191119 3.903500
0.939022 0.242533 3.903500
1.068827 0.132211 3.903500
0.929546 0.135495 3.903500
0.797563 0.226361 3.903500
0.857788 0.105285 3.903500
1.086950 0.136732 1.376638
0.861001 0.158901 1.376638
1.065506 0.065894 1.376638
1.096526 0.064801 1.376638
1.008840 0.178772 1.376638
1.136303 0.151027 0.910018
0.904508 0.100315 1.070924
1.108064 0.183547 1.009533
1.047627 0.108029 1.009533
1.099842 0.046599 1.052975
1.002423 0.101942 0.962555
1.087609 0.070523 0.962555
0.965795 0.104507 0.962555
1.072442 0.078386 0.926997
0.941281 0.149326 0.926997
1.006366 0.065266 0.926997
0.943627 0.253759 0.926997
1.101749 0.114840 0.926997
0.918732 0.184520 0.926997
1.133393 0.105310 0.926997
0.950024 0.085309 3.406159
1.142445 0.078341 3.406159
0.950996 0.107705 3.406159
1.198424 0.092401 3.406159
0.981178 0.115253 0.873815
1.209755 0.193991 0.873815
1.040926 0.125410 1.325413
1.211492 0.195065 1.325413
1.038814 0.134869 1.325413
1.194406 0.118957 1.325413
1.008460 0.061845 1.325413
1.122228 0.108269 1.325413
0.992151 0.063233 1.325413
1.090907 0.114895 0.805583
0.988340 0.114143 0.312904
1.142090 0.162141 0.312904
0.960382 0.154483 0.312904
1.145084 0.054757 0.312904
0.971673 0.133603 0.312904
1.337873 0.174505 0.312904
0.590616 0.269422 0.312904
0.845251 0.155013 0.312904
1.116175 0.093326 0.312904
1.038309 0.168752 0.312904
1.131944 0.097773 0.312904
1.002180 0.103515 0.312904
1.114297 0.180875 0.312904
1.015519 0.071277 0.312904
1.100093 0.247942 0.312904
0.943525 0.144100 0.312904
1.098816 0.116844 0.312904
0.952047 0.096365 0.785917
1.060357 0.093752 0.785917
0.934663 0.073332 0.785917
1.074182 0.057552 1.401800
0.939251 0.094867 1.401800
1.088558 0.141760 1.401800
0.903469 0.171178 1.401800
1.145470 0.158972 1.401800
0.931981 0.138298 1.401800
1.178162 0.172434 1.401800
0.968416 0.106131 1.401800
1.194000 0.054910 1.401800
1.022840 0.097563 1.401800
